店名,業種,サービス,郵便番号,住所,電話番号
ＶＩＳＯＵＲＩＲＥ,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300071,さいたま市浦和区 上木崎２－５－２ウィステリア浦和３０５,07028219716
クローバー北浦和店,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和１ー２ー１５森ビル2F,0487993375
フェイシャルサロンエレガ,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区 北浦和４丁目１番地１１号岩﨑ビル４０３号室,0488266138
with GRACE,エステ,"さいコイン,たまポン,出産・子育て,限定たまポン",3300075,さいたま市浦和区 針ヶ谷3-2-7To YOU@BILL202,07089833930
焼肉きんぐ 浦和木崎店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300042,さいたま市浦和区木崎２ー１ー２０,0488297525
吉野家   浦和駅東口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町１ー２２,0488164929
鮮彩もつ焼き わか大将,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町１１ー２３Ｙahata   Ｂuilding2,0488265733
旬の味みなと,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町１０ー２,0488850777
キッチンオリジン浦和店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区 東仲町25-1,0487648370
ローストチキンコオロギ浦和店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区 東仲町8丁目3番プレミア浦和1階,0488815077
日本料理   和彩   よね田,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区 東仲町9-5東仲町KUMAビル3階,0488133553
アズーリ   カーサ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区東仲町11ー21,0488772772
焼鳥   鳥せい   北浦和店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤９ー１３ー５,0487118028
吉野家   １７号線浦和常盤店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤６ー２ー１５,0488301873
にちにち草,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤６ー４ー４さいたま市本庁舎東側広場市民サロン棟,0486255100
うなぎ処古賀,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤７丁目１番地２０号,0487539986
キッチン   スティックートゥ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤9丁目33番地3号ピサロビル2階,0488344433
越コーヒー店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤9丁目32番28号荘栄第一ビル1階,0488336724
レストランRPR,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和１９F,0488271165
中国料理   彩湖,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和18F,0488271164
日本料理   四季彩,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和５F,0488271162
ペストリーショップ   ラ・モーラ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和１F,0488271161
テラスダイニング   ミケーラ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー５ー１ロイヤルパインズホテル浦和１F,0488271160
吉野家   浦和仲町店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー３ー２２,0488352252
浦和三国中華居酒屋,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町１ー１ー１３浦和駅前ビル3階,0486121456
VOLENTE-048,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町１ー１０ー１５ATビル１F,0487114208
あさきや,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町3-13-6,0488227625
肉バル   Girasole,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町2-15-8,0487118529
喫茶   ゆうびん屋,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町４丁目２番１４号掛川ビル１階東側,07085314835
カフェ 土瑠茶,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町4丁目11-14,0488611755
熟成和牛焼肉丸喜,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町1-9-14 2F,0488335884
料理屋   季口,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町3-12-2ルミエール浦和仲町101,0486063565
珈琲工房カフェ砂時計,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町２丁目９ー５細井ビル１０２号,0488220426
本場月島もんじゃ金太郎浦和店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町2丁目3番地４号,0488228833
回転寿司みさき   浦和西口,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町１丁目１番１０号,0487118208
クラカワ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町1-12-5アルバビル102,05035957331
なつめ庵,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町1-11-2日建プリムローズ201,0488150055
MeltyAnnex/和うさぎ,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町2-13-14大熊店舗東側,0487145459
バーレベルストック,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町1丁目11-20,0488234788
焼肉うらいち浦和仲町店,カフェ・飲食店,"さいコイン,出産・子育て",3300062,さいたま市浦和区仲町3-2-16   2F,04867782299
イタリア料理アニマロッサ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町4丁目11番地11号レインボー仲町1階,0487113695
ヴァンエール,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町１丁目2番地14号関ビル３F,0488226666
エッコラ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町1ー5ー15,0488241511
ラーラ浦和店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町1丁目5-9小宮ビルB1F,0487649805
サムシング本店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町2丁目１番５号浦和仲町KSビル1・2階,0488220847
コバトンカフェ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂３丁目１３番３号衛生会館１階,0488299227
手打ち蕎麦しば田,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区高砂2-2-2BAIGYOKU.Sビル1F,0484002150
高砂3丁目バル,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂3丁目7番地5号エスポワールビル１階,0487896300
朱苑   浦和高砂店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区高砂2丁目2番1号,0488532941
江戸前がってん寿司浦和西口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区高砂2-6-13,0488158001
うなぎ瀧澤,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂２－１４－１７日建第二高砂ビル１階,0488259157
小梅浦和総本店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂３－６－１２,0488292625
COCO壱番屋浦和駅西口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂２－６－６秩父屋ビル１階,0488143811
ちゃんこ市川,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂2丁目1番19号浦和ワシントンホテル1F,0488224163
アズーリ   クラシコ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区高砂1ー15ー11   ７F伊勢丹浦和店,0488315555
高山商店浦和本店,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂2-14-17日建第二高砂ビル地下一階,0488339444
チキン亭,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂3丁目12番地24号小峰ビル1階,0488233301
そば膳処   むさしや本店（出前のみ利用可）,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂3丁目17番地13号,0488614920
満寿家,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300064,さいたま市浦和区 岸町7丁目1番3号,0488221101
チルコロ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300064,さいたま市浦和区 岸町４－２－１８赤澤ビル１ーＡ,0487993505
アランチャ・デル・ソーレ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300064,さいたま市浦和区 岸町4丁目6番2号,0488229850
レストランビーローズ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300064,さいたま市浦和区 岸町７－５－１４さいたま共済会館 １階,0488259955
BACCHUS,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300064,さいたま市浦和区 岸町4丁目1番地35号,0488344333
黒鵬熊本らーめん,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300071,さいたま市浦和区 上木崎１－８－４フレスポ与野１Ｆ,0488163675
サムシング・トレ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300071,さいたま市浦和区上木崎1ー9ー19永楽ビル,0488244442
ラプロメッサ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300071,さいたま市浦和区 上木崎1丁目3番32号松本ビル2階西,0487992133
お茶カフェうさぎ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300072,さいたま市浦和区 領家7丁目17番14浦和領家コーポD102,0488321128
RENOCafe,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300072,さいたま市浦和区 領家７丁目２６番地２号,0488344848
さんかくカフェ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300072,さいたま市浦和区 領家4丁目18番,0488311079
昭和酒場ポコペン,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300073,さいたま市浦和区元町2ー2－1喜崎屋ビル１F,08074385151
吉野家   北浦和西口店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和４ー２ー５サクラレジデンス北浦和1F,0488299980
UAMFAN THAI,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和1-6-1 102,0487649918
一心寿司,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和4丁目1番3号,0488312038
DIYA,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区 北浦和4-7-7,0486063990
キッチンオリジン北浦和店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和３－２－５ＹＫ－１８ビル,0487117795
ビストロ   クゥー,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区 北浦和1-15-10丸時ビル101,0487673226
珈琲亭,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区 北浦和4-3-10若松屋ビル1F,0488248810
カフェディープラス,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区 北浦和1丁目1番7号,0487676970
サムシング・クアトロ,カフェ・飲食店,"ふるさとたまポン,さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和4ー3ー11CoCoビル,0488239335
snackみい北浦和店,カフェ・飲食店,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和3ー10ー5斎藤アパート１F,0488340931
焼肉うらいち,カフェ・飲食店,"さいコイン,出産・子育て",3300075,さいたま市浦和区 針ヶ谷３丁目２番１１号,0488141129
白星クリーニング,クリーニング業,"さいコイン,たまポン,出産・子育て,限定たまポン",3300045,さいたま市浦和区 皇山町３８－１０,0488338164
松尾クリーニング,クリーニング業,"さいコイン,たまポン,出産・子育て,限定たまポン",3300052,さいたま市浦和区本太１ー３７ー１２,0488812812
クリーニング工房たぬま,クリーニング業,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤１丁目３番地１５号,0488312700
スカット北浦和西口店,クリーニング業,"さいコイン,たまポン,出産・子育て,限定たまポン",3360061,さいたま市浦和区常盤9ー17ー10,0488227511
セブンイレブン浦和常盤5丁目店,コンビニエンスストア,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤5丁目17番12号,0488314483
セブンイレブン針ヶ谷店,コンビニエンスストア,"さいコイン,たまポン,出産・子育て,限定たまポン",3300075,さいたま市浦和区 針ヶ谷１丁目１１番４号,0488313933
好日山荘浦和パルコ店,スポーツ用品販売,"さいコイン,出産・子育て",3300055,さいたま市浦和区 東高砂町１１番地１号浦和パルコ４階,0487649701
コバヤシスポーツ,スポーツ用品販売,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町１丁目８番１１号,0488222021
URAWA POINT,スポーツ用品販売,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町1丁目11番18号ユーネックスハイム２階,0488320062
西松屋チェーン   浦和パルコ店,その他,"さいコイン,出産・子育て",3300050,さいたま市浦和区高砂町１１ー１,07015178077
オリックスレンタカー浦和駒場店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300052,さいたま市浦和区本太５ー２９ー１,0488844543
はまや衣裳店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300054,さいたま市浦和区 東岸町2番20号,0488827346
国際交流センター,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300055,さいたま市浦和区 東高砂町１１ー１コムナーレ９F,0488138500
高松屋,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300055,さいたま市浦和区 東高砂町26番21号,0488823964
pilates&yoga studio syn,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300056,さいたま市浦和区 東仲町9丁目11番タナカフラッツ１階,08043496731
浦和ふれあい館,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤９ー３０ー２２,0488297905
恭慶館,その他,"さいコイン,出産・子育て",3300061,さいたま市浦和区常盤９ー３０ー５,0488357450
コスコジ   北浦和西口店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤９－３２－３５,0488336740
(有)くまさか,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤５ー２ー１４,0488316976
ＣＨＩＣ   ｔａｉｌｏｒ   ｍａｄｅ,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤９丁目３４ー１７本多ビル１Ｆ,0486126642
青山洋品店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区常盤３ー１８ー１３,0488316690
中華楼,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤10-9-13中華楼,0488311616
ｍａｍａｗｒｅａｔｈ,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤9丁目33番3号,0487673618
アイル・コーポレーション株式会社,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300061,さいたま市浦和区 常盤五丁目2番18号,0488322514
amoroso,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町１ー５ー２,0488229005
フォトスタジオラピナス浦和店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町２ー３ー２２桑原ビル4階,0487626636
はんこ屋さん２１浦和店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町２丁目１番１号博栄堂ビル   １階,0488158583
ロボット教室リンクル,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町２丁目９番地５号,08050277597
REGAL SHOES 浦和店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区仲町１丁目１番１号浦和吉野ビル１F,0488323500
Fleur Girafe,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町3丁目２番地１４号,0488343754
靴専科浦和店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町1丁目5番地7号森田ビル1階,0487896064
エンドーデンキ   仲町店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町2ー19ー17,0488226428
足立屋,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300062,さいたま市浦和区 仲町3-13-12,0488222978
漢方専門一心堂薬局   浦和店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区高砂３ー７ー４アルスビル1F,0488141414
コバトン屋   コバトンカフェ店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂３丁目１３番３号衛生会館１階,0487111337
武笠表具店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区高砂３－７－６,0488224946
浦和観光案内所,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂一丁目１６番地１２アトレ浦和South Area,0488831055
ミック,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂１丁目１２番地１号コルソ内,0488245324
シャンボール,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区 高砂二丁目8番4号,0488243302
浦和 花たろう,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300063,さいたま市浦和区高砂1ー12ー1浦和コルソ1F,0487628759
フローリスト花忠,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300064,さいたま市浦和区岸町7-2-9-102,0488224729
Total IT School,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300064,さいたま市浦和区 岸町４丁目２－１８赤澤ビル２Ｆ,09077228936
巻き爪バスター   与野店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300071,さいたま市浦和区上木崎2-3-81階-A,0488238510
手作りチーズケーキの店ダンテ   工房店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300073,さいたま市浦和区元町1-31-15,0488838600
有限会社おとぎや,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和３－１－１７,0488313931
コスコジ   北浦和本店,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区北浦和3丁目1番15号,0488310177
はなひよ工房,その他,"さいコイン,たまポン,出産・子育て,限定たまポン",3300074,さいたま市浦和区 北浦和3-13-12,07090560524
